 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       2597605     3715707896  [I (java.base@21.0.11)
   2:        469216     2174996936  [D (java.base@21.0.11)
   3:      45199818     1807992720  boxOfActin.Pt3D
   4:            14      176198832  [F (java.base@21.0.11)
   5:       3532806      169574688  boxOfActin.UCircRnd
   6:             1      128000016  [LboxOfActin.Thing;
   7:        392000       84672000  boxOfActin.MyoMotor
   8:        392000       81536000  boxOfActin.MyosinFixed
   9:        392000       78400000  boxOfActin.MyoLever
  10:        392000       78400000  boxOfActin.MyoRod
  11:       1177602       75366528  boxOfActin.Thing$RetObj
  12:       1177602       47104080  boxOfActin.CollisionEvent
  13:       1177602       47104080  ec.util.MersenneTwisterFast
  14:        392000       43904000  boxOfActin.MyoFilLink
  15:       1179252       37736064  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.11)
  16:             2       32000032  [LboxOfActin.Myosin;
  17:             1       32000016  [LboxOfActin.MyoFilLink;
  18:             1       32000016  [LboxOfActin.MyoMotor;
  19:          1622       29819848  [Z (java.base@21.0.11)
  20:          1631       25638320  [Ljdk.internal.vm.FillerElement; (java.base@21.0.11)
  21:       1177736       18843776  java.lang.Integer (java.base@21.0.11)
  22:        405675       16227000  boxOfActin.ValueTracker
  23:        613070        9809120  java.lang.Object (java.base@21.0.11)
  24:            48        8416512  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.11)
  25:             2        8000032  [LboxOfActin.NodeLink;
  26:          1602        4281792  [LboxOfActin.FilSegment;
  27:         41830        1689752  [Ljava.lang.Object; (java.base@21.0.11)
  28:         40334        1605400  [[I (java.base@21.0.11)
  29:          1601         947792  boxOfActin.FilSegment
  30:             2         800032  [LboxOfActin.FilLink;
  31:         11500         500576  [B (java.base@21.0.11)
  32:             2         400032  [LboxOfActin.MyosinDimer;
  33:             1         400016  [LboxOfActin.ProteinNode;
  34:          1603         361808  [LboxOfActin.Arp23;
  35:         11288         270912  java.lang.String (java.base@21.0.11)
  36:           430         249752  [[D (java.base@21.0.11)
  37:          1801         229008  java.lang.Class (java.base@21.0.11)
  38:           286         167024  [[[I (java.base@21.0.11)
  39:           285         166440  [[Ljava.lang.Object; (java.base@21.0.11)
  40:          2579          82528  java.util.HashMap$Node (java.base@21.0.11)
  41:             2          80832  [LboxOfActin.ActA;
  42:           260          59232  [C (java.base@21.0.11)
  43:             1          40016  [LboxOfActin.MyoMiniFilament;
  44:           280          36544  [Ljava.util.HashMap$Node; (java.base@21.0.11)
  45:           256          32768  boxOfActin.ThreadSet$ThreadSpawn
  46:           289          30056  boxOfActin.FilLink
  47:           292          22192  [Ljava.lang.ref.SoftReference; (java.base@21.0.11)
  48:           626          20032  java.lang.invoke.LambdaForm$Name (java.base@21.0.11)
  49:           240          19200  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.11)
  50:           376          18048  java.lang.invoke.MemberName (java.base@21.0.11)
  51:           237          17064  boxOfActin.Parameter
  52:           347          13880  java.lang.invoke.MethodType (java.base@21.0.11)
  53:           284          13632  java.util.HashMap (java.base@21.0.11)
  54:           373          11936  jdk.internal.util.WeakReferenceKey (java.base@21.0.11)
  55:             8          11384  [J (java.base@21.0.11)
  56:            63          11232  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.11)
  57:           278          11120  java.lang.Thread$FieldHolder (java.base@21.0.11)
  58:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.11)
  59:           315          10576  [Ljava.lang.Class; (java.base@21.0.11)
  60:           262          10480  java.security.AccessControlContext (java.base@21.0.11)
  61:           367           8808  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.11)
  62:           172           8424  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.11)
  63:           167           8016  java.lang.invoke.LambdaForm (java.base@21.0.11)
  64:           240           7680  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.11)
  65:           320           7680  java.lang.invoke.ResolvedMethodName (java.base@21.0.11)
  66:           142           7080  [Ljava.lang.String; (java.base@21.0.11)
  67:           256           6144  java.lang.Long (java.base@21.0.11)
