 num     #instances         #bytes  class name (module)
  97:           410           6560  java.util.HashMap$KeySet (java.base@21.0.11)
  98:           260           6240  [Ljava.security.ProtectionDomain; (java.base@21.0.11)
  99:           258           6192  java.lang.ThreadLocal$ThreadLocalMap (java.base@21.0.11)
 100:           258           6192  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.11)
 101:           258           6192  java.time.LocalDateTime (java.base@21.0.11)
 102:           188           6016  jdk.jfr.internal.EventControl (jdk.jfr@21.0.11)
 103:           188           6016  jdk.jfr.internal.settings.EnabledSetting (jdk.jfr@21.0.11)
 104:           183           5856  jdk.jfr.internal.SettingsManager$InternalSetting (jdk.jfr@21.0.11)
 105:           244           5856  jdk.jfr.internal.settings.BooleanValue (jdk.jfr@21.0.11)
 106:            87           5568  java.util.concurrent.ConcurrentHashMap (java.base@21.0.11)
 107:            38           5472  java.text.DecimalFormat (java.base@21.0.11)
 108:           125           5000  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.11)
 109:           100           4800  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.11)
 110:           149           4784  [Ljava.lang.reflect.Method; (java.base@21.0.11)
 111:            66           4752  java.lang.reflect.Constructor (java.base@21.0.11)
 112:            96           4608  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.11)
 113:            96           4608  jdk.jfr.internal.Type (jdk.jfr@21.0.11)
 114:           190           4560  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21.0.11)
 115:           188           4512  jdk.jfr.EventType (jdk.jfr@21.0.11)
 116:           256           4096  java.lang.Byte (java.base@21.0.11)
 117:           256           4096  java.lang.Short (java.base@21.0.11)
 118:            69           3864  java.lang.Module (java.base@21.0.11)
 119:           156           3744  java.util.LinkedHashMap$LinkedValues (java.base@21.0.11)
 120:            90           3600  java.math.BigInteger (java.base@21.0.11)
 121:            39           3432  java.text.DecimalFormatSymbols (java.base@21.0.11)
 122:           132           3168  java.time.LocalDate (java.base@21.0.11)
 123:           131           3144  jdk.internal.module.SystemModuleFinders$2 (java.base@21.0.11)
 124:           125           3000  java.lang.module.ModuleDescriptor$Provides (java.base@21.0.11)
 125:           124           2976  java.lang.module.ResolvedModule (java.base@21.0.11)
 126:            81           2592  jdk.jfr.internal.settings.PeriodSetting (jdk.jfr@21.0.11)
 127:            21           2520  java.lang.Thread (java.base@21.0.11)
 128:           103           2472  [[C (java.base@21.0.11)
 129:            77           2464  jdk.jfr.internal.settings.ThresholdSetting (jdk.jfr@21.0.11)
 130:             3           2448  [[[D (java.base@21.0.11)
 131:            50           2400  jdk.jfr.internal.periodic.JVMEventTask (jdk.jfr@21.0.11)
 132:           148           2368  jdk.proxy1.$Proxy5 (jdk.proxy1)
 133:            59           2360  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.11)
 134:            91           2184  java.lang.Class$AnnotationData (java.base@21.0.11)
 135:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@21.0.11)
 136:           128           2048  java.lang.Character (java.base@21.0.11)
 137:           125           2000  jdk.internal.module.SystemModuleFinders$3 (java.base@21.0.11)
 138:            48           1992  [Ljava.lang.reflect.Field; (java.base@21.0.11)
 139:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@21.0.11)
 140:            39           1872  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.11)
 141:            56           1792  jdk.jfr.internal.settings.StackTraceSetting (jdk.jfr@21.0.11)
 142:            12           1728  [Ljava.lang.invoke.MemberName; (java.base@21.0.11)
 143:            72           1728  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.11)
 144:             2           1632  [[[Ljava.lang.Object; (java.base@21.0.11)
 145:             2           1632  [[[[I (java.base@21.0.11)
 146:            38           1520  java.text.DigitList (java.base@21.0.11)
 147:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@21.0.11)
 148:            30           1440  boxOfActin.RunTimer
 149:            36           1440  java.io.ObjectStreamField (java.base@21.0.11)
