step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
91,1171,42007,5.1110640862e-12,3.8110886798e-16,3.8110886798e-17,0
92,1171,42007,6.2298303124e-12,5.7174058424e-12,5.7177869512e-13,0
93,1171,42007,7.1945157473e-12,-7.1938892698e-12,-1.4761023186e-13,0
94,1171,42007,4.5679654380e-12,-3.8181843679e-12,-5.2942866865e-13,0
95,21304,42005,4.8150984977e-12,-4.7221034515e-17,-4.7221034515e-18,0
95,1171,42007,7.6847484602e-12,-7.1814413498e-12,-1.2475728036e-12,0
96,1171,42007,5.2144077829e-12,4.7788599199e-12,-7.6968681163e-13,0
96,21304,42005,2.9770699705e-12,2.1373622702e-12,2.1373150491e-13,0
97,1171,42007,3.6234143203e-12,-2.7083639307e-12,-1.0405232047e-12,0
97,21304,42005,2.5605435048e-12,1.1816446486e-12,3.3189596977e-13,0
98,21304,42005,7.4613909475e-12,5.2662017213e-12,8.5851614190e-13,0
98,1171,42007,1.0987977855e-11,4.4342928660e-12,-5.9709391810e-13,0
99,21304,42005,4.8994225222e-12,-3.2012827391e-12,5.3838786799e-13,0
99,1171,42007,8.2504363912e-12,-1.5689089942e-12,-7.5398481751e-13,0
100,21304,42005,9.2612600954e-12,6.5796691460e-12,1.1963547826e-12,0
100,1171,42007,5.0958620075e-12,3.6784638836e-12,-3.8613842916e-13,0
101,21304,42005,2.6325059873e-12,-2.1193966927e-12,9.8441511332e-13,0
101,1171,42007,5.1049257847e-12,2.2266605239e-12,-1.6351048765e-13,0
102,1171,42007,1.3458123673e-12,5.3227066716e-13,-6.8202400517e-13,0
102,21304,42005,5.7220251367e-12,-4.4637930762e-12,5.3803580570e-13,0
103,21304,42005,1.2705902350e-12,9.7764145951e-13,6.3579995165e-13,0
103,1171,42007,1.8838808016e-12,-4.5161737922e-13,-7.7968161132e-15,0
104,21304,42005,3.8019027924e-12,6.3030137413e-14,6.4210296539e-13,0
104,1171,42007,4.2894861783e-12,-6.7918086266e-13,3.0610353441e-13,0
105,1171,42007,8.6687435296e-12,2.6914542464e-13,1.0511622118e-12,0
105,21304,42005,6.5735768845e-12,2.0074628189e-12,8.4285396939e-13,0
106,1171,42007,5.0331663637e-12,2.2334708053e-12,7.9662330038e-13,0
106,21304,42005,4.1665345429e-12,2.0549776848e-12,8.3461551085e-13,0
107,1171,42007,5.1281219189e-12,5.1610420938e-13,1.1190701144e-12,0
107,21304,42005,4.3358678658e-12,-1.7643067108e-12,5.4002037492e-13,0
108,21304,42005,3.3416046037e-12,3.0399666359e-12,3.1739686638e-13,0
108,1171,42007,3.8609956625e-12,-1.6258311471e-12,5.1305771307e-13,0
109,1171,42007,8.3541339320e-12,9.2958061157e-13,7.6290667365e-13,0
109,21304,42005,4.3988542258e-12,6.5213617854e-13,7.0273875814e-13,0
110,1171,42007,3.9119276335e-12,-2.8775843138e-12,1.0730185391e-13,0
110,21304,42005,3.3686889781e-12,-1.1895665843e-13,3.2876177700e-14,0
111,1171,42007,7.1944732897e-12,1.1652406474e-12,1.1598662637e-15,0
111,21304,42005,9.4294120200e-12,-6.9475533009e-12,-4.4993948312e-13,0
112,21304,42005,7.9066608337e-12,3.5480445958e-12,3.5124428407e-13,0
112,1171,42007,5.9603723351e-12,-5.2669974958e-12,-5.7876695004e-13,0
113,1171,42007,8.4491980625e-12,2.3499599480e-13,-5.1010561263e-13,0
113,21304,42005,3.2079924152e-12,-1.9015125218e-12,6.3328885942e-14,0
114,21304,42005,9.6835171808e-12,3.6815592459e-12,4.2518179679e-13,0
114,1171,42007,2.7639725989e-12,-2.2233909889e-12,-6.6452662525e-13,0
115,21304,42005,5.8966374175e-12,1.9973829587e-12,4.2417381077e-13,0
115,1171,42007,4.2793608279e-12,1.3888567801e-13,-6.7755259992e-13,0
116,1171,42007,2.0685350640e-12,-1.9286624101e-12,-1.0937659215e-12,0
116,21304,42005,6.8410365397e-12,3.8572660971e-13,2.5724870326e-13,0
117,1171,42007,4.4061003920e-12,3.9629651747e-12,-7.4907982492e-13,0
117,21304,42005,4.1739918320e-12,1.4310296758e-12,5.7678234192e-13,0
118,1171,42007,4.7938499678e-12,1.3416280407e-12,-4.5233390614e-13,0
118,21304,42005,6.8373699244e-12,3.1490555644e-12,5.8769123477e-13,0
119,21304,42005,3.9186762506e-12,1.1271887298e-12,6.3519648990e-13,0
119,1171,42007,7.3925007674e-12,-7.0717641525e-12,-1.2524683825e-12,0
120,21304,42005,6.8466879630e-12,4.7110750437e-12,1.1181996601e-12,0
120,1171,42007,6.7058392799e-12,1.1921068783e-13,-9.5278888238e-13,0
120,11464,42008,5.8506965266e-12,2.0782240606e-16,2.0782240606e-17,0
121,11464,42008,5.7789845811e-12,4.0768868763e-12,4.0770946987e-13,0
121,21304,42005,4.2537805433e-12,1.5895565169e-12,1.9719106419e-12,0
121,1171,42007,2.4395937959e-12,6.4340835533e-14,-1.0628788636e-12,0
122,1171,42007,8.4187960642e-12,2.7178088686e-12,-2.6439822712e-13,0
122,11464,42008,2.6288863463e-12,-1.6679490404e-12,2.4091456583e-13,0
122,21304,42005,2.8671359542e-12,4.0877260931e-13,1.6579834432e-12,0
123,1171,42007,3.2882744508e-12,-3.0494085994e-12,-5.9283868654e-13,0
123,11464,42008,2.7179278803e-12,1.7931995324e-12,4.2023451907e-13,0
123,21304,42005,1.1639948173e-12,-8.1439250746e-13,1.7666954447e-12,0
124,21304,42005,4.2066600925e-12,-3.5236625438e-12,1.0461732657e-12,0
124,1171,42007,1.2738477360e-12,-1.1688911888e-13,-3.8218849954e-13,0
124,11464,42008,4.8219446517e-12,5.8067709782e-13,4.7830222885e-13,0
125,21304,42005,4.4699436365e-12,3.6962653826e-12,1.2160615081e-12,0
125,1171,42007,3.4047708785e-12,1.3570393680e-12,-2.6037313055e-13,0
125,11464,42008,8.1567406483e-13,3.7353750104e-13,5.1565597896e-13,0
126,21304,42005,3.5196257000e-12,-2.8626629946e-12,8.9122254767e-13,0
126,11464,42008,1.0018383717e-11,-9.0222099558e-12,-3.8656501662e-13,0
126,1171,42007,4.0383427555e-12,4.0114710239e-12,3.3364021285e-13,0
127,1171,42007,4.0339656335e-12,-1.1865444343e-12,-1.8131074805e-13,0
127,21304,42005,3.0882126899e-12,-7.2071690862e-13,6.7604788922e-13,0
127,11464,42008,3.9908147788e-12,3.6249300411e-14,-3.8294008658e-13,0
128,21304,42005,6.1262976182e-12,-9.3742668433e-13,2.6739966435e-13,0
128,11464,42008,2.7145589958e-12,5.9934103241e-13,-3.2300598334e-13,0
128,1171,42007,5.5563265093e-12,-3.5459707311e-12,-6.7007062523e-13,0
129,11464,42008,4.3498995335e-12,4.3343769315e-12,1.1043170981e-13,0
129,21304,42005,4.0855451782e-12,-3.1612799947e-12,-1.6144720810e-13,0
129,1171,42007,4.1714879965e-12,1.8843239537e-12,2.2553818538e-13,0
130,21304,42005,6.5019763217e-12,-2.3719889563e-12,-8.6975360810e-13,0
130,1171,42007,5.3012570457e-12,-1.0787446373e-12,1.0574265287e-13,0
130,11464,42008,5.7724295846e-12,-4.1147621951e-12,-3.0106529194e-13,0
131,21304,42005,4.1778970941e-12,-2.1603368914e-12,-1.2447429489e-12,0
131,1171,42007,5.3114688532e-12,-3.9363930159e-12,-2.9433073226e-13,0
