step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
93,39172,42007,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
94,39172,42007,5.1282645665e-12,-1.8758539302e-18,-1.8758539302e-19,0
95,39172,42007,6.8813058550e-12,2.4252383955e-12,2.4252365197e-13,0
96,39172,42007,1.0290494151e-11,-1.0243980143e-11,-7.8187436236e-13,1
97,39172,42008,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
98,39172,42008,5.6431899084e-12,1.2661721465e-17,1.2661721465e-18,0
99,39172,42008,4.9998828862e-12,6.3729837380e-14,6.3742499101e-15,0
100,39172,42008,3.4080433788e-12,-1.6571327643e-12,-1.5933902652e-13,0
101,39172,42008,4.8889664019e-12,-3.8524986153e-12,-5.4458888805e-13,0
102,39172,42008,5.2016082414e-12,1.3990696622e-12,-4.0468192183e-13,0
103,39172,42008,9.4624898195e-12,-7.0119439768e-12,-1.1058763195e-12,0
104,39172,42008,5.6992271145e-12,3.5995024236e-12,-7.4592607716e-13,0
105,39172,42008,4.5383393224e-12,-3.8528060950e-12,-1.1312066867e-12,0
106,39172,42008,4.0030366175e-12,-2.1363896166e-13,-1.1525705828e-12,0
107,39172,42008,1.9728684832e-12,-1.8543404659e-12,-1.3380046294e-12,0
108,39172,42008,3.8906078879e-12,-2.9311633416e-12,-1.6311222297e-12,0
109,39172,42008,7.3026090383e-12,-6.6997644411e-12,-2.3074716576e-12,0
110,39172,42008,3.8368028372e-12,-5.4362113769e-13,-2.1961204949e-12,0
111,39172,42008,3.2461249400e-12,1.9413624354e-12,-1.6167343899e-12,0
112,39172,42008,1.0347555278e-11,-6.9736235016e-12,-2.4540037062e-12,0
113,39172,42008,4.0378039454e-12,2.2933139762e-12,-1.5234779109e-12,0
114,39172,42008,8.4160595160e-12,-3.7659133624e-12,-2.2600194895e-12,0
115,39172,42008,5.7153322873e-12,-6.0163874750e-13,-1.9349027548e-12,0
116,39172,42008,9.9160879161e-12,-6.9708796027e-12,-2.6106268189e-12,0
117,39172,42008,6.0001695452e-12,-1.5743678063e-12,-2.5826295529e-12,0
118,39172,42008,9.0571126987e-12,-1.0588116755e-12,-2.3953943863e-12,0
119,39172,42008,5.8227693500e-12,-1.5071928081e-12,-1.8761372230e-12,0
120,39172,42008,6.2497619926e-12,-8.4025462369e-13,-1.9058005716e-12,0
121,39172,42008,9.0354335342e-13,-5.0181516928e-13,-2.1501183321e-12,0
122,39172,42008,7.3910660578e-12,1.8091496183e-12,-1.2718410201e-12,0
123,38353,42008,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
123,39172,42008,7.2560720453e-12,1.7335500440e-12,-1.3278174133e-12,0
124,38353,42008,4.0589385152e-12,-2.0897288808e-17,-2.0897288808e-18,0
124,39172,42008,7.8526256678e-12,-1.8268611450e-12,-1.1339121916e-12,0
125,38353,42008,1.1601591215e-11,1.0872455714e-11,1.0872434816e-12,0
125,39172,42008,4.2006376676e-12,4.0843335658e-12,-6.6531496024e-13,0
126,38353,42008,7.8983946120e-12,-4.5536903241e-12,6.3187444921e-13,0
126,39172,42008,1.0587540393e-11,-7.3164356518e-12,-6.9987056515e-13,0
127,38353,42008,1.1855955453e-11,9.3449406199e-12,1.5663685112e-12,0
127,39172,42008,8.4954248497e-12,1.6531621991e-12,-3.7711756461e-13,0
128,38353,42008,5.8300963883e-12,2.3773960231e-12,1.8041081135e-12,0
128,39172,42008,1.0015393029e-11,3.3268925809e-12,6.1452861029e-14,0
129,38353,42008,8.1088885606e-12,-1.8290668459e-12,1.6212014289e-12,0
129,39172,42008,1.2429169673e-11,-3.2042387407e-12,-1.0825173223e-13,1
130,38353,42008,1.1495015877e-11,6.5486361993e-12,2.2760650489e-12,0
131,38353,42008,5.8465714908e-12,5.1278642790e-13,2.3273436916e-12,0
132,38353,42008,8.4804220937e-12,7.8936943787e-12,3.1167131295e-12,0
133,38353,42008,3.1156201750e-12,4.9849284856e-13,3.1665624144e-12,0
134,38353,42008,1.4959261043e-12,-2.6712741177e-13,3.1398517629e-12,0
135,38353,42008,6.1955948184e-12,5.2144547361e-12,2.5740516652e-12,0
136,38353,42008,4.8614801421e-12,-4.4800365674e-12,2.5814170408e-12,0
137,38353,42008,5.8776364852e-12,5.3268513732e-12,2.1796081162e-12,0
138,38353,42008,3.8529331635e-12,1.3920252754e-12,2.0810710414e-12,0
139,38353,42008,8.2493248343e-12,7.7441551435e-12,3.0383932403e-12,0
140,38353,42008,1.0638743575e-12,6.9488669376e-13,2.4530182898e-12,0
141,38353,42008,2.1430064754e-12,1.0680311887e-12,2.5085427659e-12,0
142,38353,42008,4.8525350405e-12,-3.1173106631e-12,1.4074422617e-12,0
143,38353,42008,5.5399439376e-12,2.5494103356e-12,1.6125340104e-12,0
144,38353,42008,2.6823140063e-12,-1.0340811324e-12,1.5358386383e-12,0
145,38353,42008,3.0445515900e-12,-2.0612604505e-12,8.0826711968e-13,0
146,38353,42008,2.6714622268e-12,1.5491000410e-12,1.4111807805e-12,0
147,38353,42008,4.7626733286e-12,5.6442020111e-13,9.3493766331e-13,0
148,38353,42008,2.3202674591e-12,1.0267260132e-12,8.9840773709e-13,0
149,38353,42008,5.8767318269e-12,1.9497298741e-12,3.1896521015e-13,0
150,38353,42008,5.2954819349e-13,-1.3866306107e-13,2.3561023466e-13,0
151,38353,42008,5.9131315296e-12,-2.0438134692e-12,-7.5574231118e-14,0
152,38353,42008,6.1508810198e-12,1.1881497305e-12,3.5497180824e-13,0
153,38353,42008,3.5391182172e-12,-1.2374255537e-13,8.7656519142e-14,0
154,38353,42008,5.1387531383e-12,1.9956009501e-12,3.9062472739e-13,0
155,38353,42008,6.4121204006e-12,9.6459591616e-13,6.9321036406e-13,0
156,38353,42008,5.9643423013e-12,-4.4539389538e-12,9.2906464585e-14,0
157,38353,42008,3.3623670254e-12,-1.9855163520e-12,-1.6208719073e-13,0
158,38353,42008,3.7785334757e-12,1.9440180802e-12,-7.0357984033e-14,0
159,38353,42008,4.7115453899e-12,-3.6287043249e-12,-6.2820140393e-13,0
160,38353,42008,1.1771160218e-12,3.9133532027e-13,-5.7520156579e-13,0
161,38353,42008,4.4847341986e-12,-4.2192939138e-13,-4.1301315802e-13,0
162,38353,42008,3.3258597699e-12,1.5069601383e-12,-3.8113211724e-13,0
163,38353,42008,9.6212864065e-12,-7.0753333747e-12,-1.0762911992e-12,0
164,38353,42008,4.1635228251e-12,-3.9596706990e-12,-1.6718183641e-12,0
165,38353,42008,7.5346786102e-12,1.6660649639e-12,-1.6016714593e-12,0
166,38353,42008,6.7692080240e-12,-2.9762277712e-12,-1.4539003410e-12,0
167,38353,42008,7.9735723232e-12,-2.5613148755e-12,-1.5114801934e-12,0
168,38353,42008,6.0531002953e-12,4.9889059897e-12,-1.2069914024e-12,0
169,38353,42008,7.5092163390e-12,-8.9613158474e-13,-9.3373412843e-13,0
170,38353,42008,3.6693582200e-12,7.1143888307e-13,-9.0172377215e-13,0
171,38353,42008,2.0754424655e-12,1.1218946779e-12,-7.4734136522e-13,0
172,38353,42008,3.3939324875e-12,-8.6204491895e-13,-9.8424187095e-13,0
173,38353,42008,4.7883806295e-12,-4.5935429939e-12,-7.3606283286e-13,0
174,38353,42008,2.6956711602e-12,1.5571729019e-12,-1.8437847278e-13,0
175,38353,42008,4.9793832252e-12,-1.7593344316e-12,-5.2691841233e-13,0
175,22234,42006,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
176,22234,42006,5.9946114912e-12,6.9242927185e-19,6.9242927185e-20,0
176,38353,42008,6.2915614558e-12,2.2686392695e-12,-2.4317082636e-15,0
177,38353,42008,5.2006567455e-12,-1.5794238747e-12,9.5757391816e-14,0
177,35698,42002,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
