step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
134,11125,42009,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
135,11125,42009,4.3033892422e-12,1.0407469835e-17,1.0407469835e-18,0
136,11125,42009,5.6476811075e-12,-5.2485116947e-12,-5.2485012872e-13,0
137,11125,42009,4.0746819981e-12,-2.1271564154e-13,-5.4612169288e-13,0
138,11125,42009,3.5006318590e-12,-4.5559947958e-13,-5.9168164084e-13,0
139,11125,42009,5.0758655092e-12,3.6793216043e-12,-2.2374948040e-13,0
140,11125,42009,3.4369410529e-12,-2.6648180190e-12,-4.9023128230e-13,0
141,11125,42009,2.0822508214e-12,1.9455923417e-12,-2.9567204813e-13,0
142,11125,42009,1.8170549700e-12,8.3447241088e-13,-2.1222480704e-13,0
143,11125,42009,5.4160512880e-12,-1.9639975410e-12,-4.0862456114e-13,0
144,11125,42009,4.8971911595e-12,6.8052432179e-13,-3.4057212896e-13,0
145,11125,42009,4.9136818746e-12,6.9477870722e-14,-3.3362538264e-13,0
146,11125,42009,4.7295977898e-12,1.7196768098e-12,3.6319346781e-13,0
147,11125,42009,5.6352986513e-12,-3.8047152234e-12,3.9935096246e-15,0
148,11125,42009,3.8997477123e-12,-3.7399059544e-12,-3.2443713785e-13,0
149,11125,42009,5.6127329347e-12,-5.2861395816e-12,-1.2209832564e-12,0
150,30178,42006,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
150,11125,42009,8.1790737377e-12,-4.5637874990e-13,-1.0001393295e-12,0
151,11125,42009,8.7057826226e-12,-6.0682539722e-12,-1.8015239609e-12,0
151,30178,42006,7.5449992391e-13,-2.2789342864e-18,-2.2789342864e-19,0
152,30178,42006,8.1709196700e-12,-3.4800703985e-12,-3.4800726775e-13,0
152,11125,42009,8.4143360682e-12,-7.1346383662e-12,-2.5984350386e-12,0
153,11125,42009,4.9461875568e-12,-4.5345355075e-12,-2.8554888353e-12,0
153,30178,42006,2.9334594649e-12,2.6167440610e-12,-8.6332861644e-14,0
154,11125,42009,5.4219393732e-12,1.6674369134e-12,-2.7567975761e-12,0
154,30178,42006,6.3562219724e-12,-4.2681552737e-12,-5.1314838901e-13,0
155,11125,42009,7.8835922165e-12,-7.6665427479e-12,-3.5303996380e-12,1
155,30178,42006,2.1812356608e-12,-1.4679038963e-13,-5.2782742797e-13,0
156,30178,42006,3.5448115797e-12,1.5350396735e-12,-3.7432346062e-13,0
157,12148,42008,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
157,30178,42006,2.9421220234e-12,-7.1225344416e-13,-4.4554880504e-13,0
158,30178,42006,9.4448658963e-12,1.8831379598e-12,-2.5723500906e-13,0
158,12148,42008,5.1570306185e-12,-2.8611025539e-18,-2.8611025539e-19,0
159,12148,42008,1.1504822268e-11,7.7696937426e-12,7.7696908815e-13,0
159,30178,42006,7.3873797704e-12,-4.4197002828e-12,-6.9920503734e-13,0
