step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
134,22504,42005,5.5488631673e-12,1.9510845558e-16,1.9510845558e-17,0
135,22504,42005,1.5094694203e-12,-2.9163043506e-13,-2.9143532661e-14,0
136,22504,42005,6.5798572718e-12,-4.0135918206e-12,-4.3050271472e-13,0
137,22504,42005,7.2248499955e-12,-6.0013122118e-12,-1.0306339359e-12,0
138,22504,42005,3.0411480677e-12,-1.1624329002e-12,-1.1468772259e-12,0
139,22504,42005,3.1825908438e-12,1.7944268593e-12,-9.6743453998e-13,0
140,22504,42005,4.7646270980e-12,-4.3684436913e-12,-1.4042789091e-12,0
141,22504,42005,3.7008119314e-12,-1.4908307606e-13,-1.4191872167e-12,0
142,22504,42005,6.7556319108e-12,6.4614780792e-12,-7.7303940880e-13,0
143,22504,42005,5.5815374146e-12,-3.4294104657e-12,-1.1159804554e-12,0
144,22504,42005,8.5459387074e-12,3.8994131280e-12,-7.2605865341e-13,0
145,22504,42005,7.1440235409e-12,-1.7769857634e-12,-8.7459418625e-13,0
146,22504,42005,2.5493180509e-12,-1.5412769868e-12,-6.2736270287e-13,0
147,22504,42005,4.8767633820e-12,-2.8522739116e-13,-5.5754220809e-14,0
148,22504,42005,6.3101746850e-12,3.1852329328e-13,9.2341398535e-14,0
149,22504,42005,6.5596700312e-12,3.7446489464e-13,-4.9654797933e-14,0
150,22504,42005,6.9790908112e-12,3.4973801769e-12,7.3692758889e-13,0
150,4765,42009,4.5710934214e-12,-2.7034978182e-16,-2.7034978182e-17,0
151,4765,42009,2.3370615571e-12,-1.3062730502e-12,-1.3065434000e-13,0
151,22504,42005,8.5076016282e-12,-7.3538938536e-12,1.6446511132e-14,1
152,22504,42005,8.1089179449e-13,-1.0823117328e-16,-1.0823117328e-17,0
152,4765,42009,6.0463556188e-12,3.5066509340e-12,2.2001075340e-13,0
153,4765,42009,7.8754434221e-12,6.1494626331e-12,8.3495701670e-13,0
153,22504,42005,3.1152548466e-12,-2.6427509129e-12,-2.6428591441e-13,0
154,11644,42011,3.1164663212e-12,1.2607116535e-16,1.2607116535e-17,0
154,4765,42009,4.7273484298e-12,-3.0279655329e-12,5.3216046342e-13,0
154,22504,42005,7.5973212229e-12,2.3762874387e-12,-2.6657170533e-14,0
155,22504,42005,7.0827108576e-12,-3.6014513451e-13,-6.2671683984e-14,0
155,11644,42011,4.4408698431e-12,3.3272076270e-12,3.3273336981e-13,0
155,4765,42009,5.8116252632e-12,1.3473834608e-13,5.4563429802e-13,0
156,11644,42011,5.1422276911e-12,4.1054069887e-12,7.4327406869e-13,0
156,22504,42005,8.9440761159e-12,8.3465007816e-12,7.7197839418e-13,0
156,4765,42009,8.8758020529e-12,4.6207258290e-12,1.0077068809e-12,0
157,22504,42005,5.4047886553e-12,-2.9601951368e-12,4.7595888050e-13,0
157,11644,42011,3.7693590016e-12,2.3009804090e-12,9.7337210959e-13,0
157,4765,42009,1.4563366571e-11,-1.0841921065e-11,-7.6485225610e-14,1
158,22504,42005,3.3744556023e-12,1.8438408736e-12,6.6034296785e-13,0
158,11644,42011,5.3620851536e-12,3.2477042922e-12,1.2981425388e-12,0
158,4765,42009,5.4784925762e-12,3.6321647318e-16,3.6321647318e-17,0
159,11644,42011,3.8049004492e-12,-1.8192115840e-12,1.1162213804e-12,0
159,4765,42009,4.4944673098e-12,-4.4361401011e-12,-4.4357768847e-13,0
159,22504,42005,4.4472980171e-12,-4.1727646362e-12,2.4306650424e-13,0
160,22504,42005,5.3880267330e-12,5.1159464370e-12,7.5466114794e-13,0
160,4765,42009,3.1322884163e-12,2.5240373426e-12,-1.9117395421e-13,0
